timestamp,src_ip,dst_ip,protocol,length
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,73
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1288
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,655
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,70
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,63
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,73
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,6,60
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,1288
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,865
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,6,1334
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,6,1334
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,6,54
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,6,1334
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,6,276
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,6,54
2025-06-24 23:40:24,192.168.7.149,20.192.44.80,6,82
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,6,134
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,112
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,75
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,6,60
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,6,341
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,6,341
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,65
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,69
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,6,54
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,52.168.117.169,192.168.7.149,6,56
2025-06-24 23:40:24,52.168.117.169,192.168.7.149,6,56
2025-06-24 23:40:24,52.168.117.169,192.168.7.149,6,56
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,949
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,105
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,81
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,49.44.119.33,192.168.7.149,17,1292
2025-06-24 23:40:24,192.168.7.149,49.44.119.33,17,77
